fact_id,entity_id,entity_name,concept,value,unit,currency,period_start,period_end,available_date,source_title,source_url,page,method,confidence,audit_status,source_date,notes
BHP-2025-REV,E01,BHP Group,revenue,51262,million,USD,2024-07-01,2025-06-30,2025-08-19,BHP Annual Report 2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,118,direct audited line item,0.99,audited,2025-08-19,Consolidated income statement revenue
BHP-2025-COST,E01,BHP Group,operating_cost_base,32319,million,USD,2024-07-01,2025-06-30,2025-08-19,BHP Annual Report 2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,118,direct audited line item,0.99,audited,2025-08-19,Expenses excluding net finance costs
BHP-2025-AR-OPEN,E01,BHP Group,trade_receivables_open,3687,million,USD,2023-07-01,2024-06-30,2025-08-19,BHP Annual Report 2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,139,direct audited comparative,0.99,audited,2025-08-19,Trade receivables comparative balance
BHP-2025-AR-CLOSE,E01,BHP Group,trade_receivables_close,3081,million,USD,2024-07-01,2025-06-30,2025-08-19,BHP Annual Report 2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,139,direct audited line item,0.99,audited,2025-08-19,Trade receivables closing balance
BHP-2025-INV-OPEN,E01,BHP Group,inventories_open,7039,million,USD,2023-07-01,2024-06-30,2025-08-19,BHP Annual Report 2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,139,direct audited comparative,0.99,audited,2025-08-19,Total inventories comparative balance
BHP-2025-INV-CLOSE,E01,BHP Group,inventories_close,6978,million,USD,2024-07-01,2025-06-30,2025-08-19,BHP Annual Report 2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,139,direct audited line item,0.99,audited,2025-08-19,Total inventories closing balance
BHP-2025-AP-OPEN,E01,BHP Group,trade_payables_open,5338,million,USD,2023-07-01,2024-06-30,2025-08-19,BHP Annual Report 2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,139,direct audited comparative,0.99,audited,2025-08-19,Trade payables comparative balance
BHP-2025-AP-CLOSE,E01,BHP Group,trade_payables_close,5082,million,USD,2024-07-01,2025-06-30,2025-08-19,BHP Annual Report 2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,139,direct audited line item,0.99,audited,2025-08-19,Trade payables closing balance
BHP-2025-FX,E01,BHP Group,fx_exposure,5123,million,USD,2024-07-01,2025-06-30,2025-08-19,BHP Annual Report 2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,160,direct audited note,0.95,audited,2025-08-19,Absolute total net non-functional-currency monetary exposure
BHP-2025-DEBT,E01,BHP Group,current_debt,2018,million,USD,2024-07-01,2025-06-30,2025-08-19,BHP Annual Report 2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,119,direct audited line item,0.99,audited,2025-08-19,Current interest-bearing liabilities
