fact_id,entity_id,entity_name,concept,value,unit,currency,period_start,period_end,available_date,source_title,source_url,page,page_basis,source_sha256,method,confidence,audit_status,approval_status,notes
BIDCORP-2025-REV,E10,Bid Corporation,revenue,235591.182,million,ZAR,2024-07-01,2025-06-30,2025-10-30,Bidcorp Annual Integrated Report 2025,https://www.bidcorpgroup.com/pdf/reports/2025/Bidcorp-2025-AIR.pdf,18,PDF_PAGE_INDEX_1_BASED,f2516d780aff52d4a5de8be9a2f02e753e948e13450e77f2b1603784b5215c9f,direct audited summary line item,0.98,AUDITED,PENDING_REVIEW,Revenue
BIDCORP-2025-CASH,E10,Bid Corporation,cash_and_cash_equivalents,11767.619,million,ZAR,2025-06-30,2025-06-30,2025-10-30,Bidcorp Annual Integrated Report 2025,https://www.bidcorpgroup.com/pdf/reports/2025/Bidcorp-2025-AIR.pdf,19,PDF_PAGE_INDEX_1_BASED,f2516d780aff52d4a5de8be9a2f02e753e948e13450e77f2b1603784b5215c9f,direct audited summary line item,0.98,AUDITED,PENDING_REVIEW,Cash including bank overdrafts
BIDCORP-2025-CL,E10,Bid Corporation,current_liabilities,42998.668,million,ZAR,2025-06-30,2025-06-30,2025-10-30,Bidcorp Annual Integrated Report 2025,https://www.bidcorpgroup.com/pdf/reports/2025/Bidcorp-2025-AIR.pdf,19,PDF_PAGE_INDEX_1_BASED,f2516d780aff52d4a5de8be9a2f02e753e948e13450e77f2b1603784b5215c9f,direct audited summary line item,0.98,AUDITED,PENDING_REVIEW,Current liabilities
BIDVEST-2025-REV,E18,The Bidvest Group,revenue,126605.406,million,ZAR,2024-07-01,2025-06-30,2025-10-24,Bidvest Integrated Report 2025,https://bidvest.co.za/pdf/annual-reports/2025/bidvest-iar-2025.pdf,40,PDF_PAGE_INDEX_1_BASED,2a44e26a70a3c05c45814de4aba756ef39bfa15e05137f49edd3ec22b722260a,direct audited summary line item,0.98,AUDITED,PENDING_REVIEW,Continuing operations revenue
BIDVEST-2025-CASH,E18,The Bidvest Group,cash_and_cash_equivalents,6193.638,million,ZAR,2025-06-30,2025-06-30,2025-10-24,Bidvest Integrated Report 2025,https://bidvest.co.za/pdf/annual-reports/2025/bidvest-iar-2025.pdf,43,PDF_PAGE_INDEX_1_BASED,2a44e26a70a3c05c45814de4aba756ef39bfa15e05137f49edd3ec22b722260a,direct audited summary line item,0.98,AUDITED,PENDING_REVIEW,Continuing operations cash
BIDVEST-2025-DEBT,E18,The Bidvest Group,current_debt,5336.113,million,ZAR,2025-06-30,2025-06-30,2025-10-24,Bidvest Integrated Report 2025,https://bidvest.co.za/pdf/annual-reports/2025/bidvest-iar-2025.pdf,44,PDF_PAGE_INDEX_1_BASED,2a44e26a70a3c05c45814de4aba756ef39bfa15e05137f49edd3ec22b722260a,direct audited summary line item,0.98,AUDITED,PENDING_REVIEW,Short-term borrowings
PEPKOR-2025-REV,E11,Pepkor Holdings,revenue,95340,million,ZAR,2024-10-01,2025-09-30,2025-12-15,Pepkor Annual Financial Statements 2025,https://pepkor.co.za/wp-content/uploads/Pepkor-annual-financial-statements-2025.pdf,21,PDF_PAGE_INDEX_1_BASED,7715894a86e0e6b06b26b90b6e5bad3ffb85b8cd6166701bf52ddf8e053193d3,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Revenue
PEPKOR-2025-CASH,E11,Pepkor Holdings,cash_and_cash_equivalents,5066,million,ZAR,2025-09-30,2025-09-30,2025-12-15,Pepkor Annual Financial Statements 2025,https://pepkor.co.za/wp-content/uploads/Pepkor-annual-financial-statements-2025.pdf,23,PDF_PAGE_INDEX_1_BASED,7715894a86e0e6b06b26b90b6e5bad3ffb85b8cd6166701bf52ddf8e053193d3,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Cash and cash equivalents
PEPKOR-2025-DEBT,E11,Pepkor Holdings,current_debt,1200,million,ZAR,2025-09-30,2025-09-30,2025-12-15,Pepkor Annual Financial Statements 2025,https://pepkor.co.za/wp-content/uploads/Pepkor-annual-financial-statements-2025.pdf,23,PDF_PAGE_INDEX_1_BASED,7715894a86e0e6b06b26b90b6e5bad3ffb85b8cd6166701bf52ddf8e053193d3,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Current interest-bearing loans and borrowings
MTN-2025-REV,E16,MTN Group,revenue,226707,million,ZAR,2025-01-01,2025-12-31,2026-03-16,MTN Group Annual Financial Statements 2025,https://www.mtn.com/wp-content/uploads/2026/03/MTN-Group-FY-25-Annual-Financial-Statements.pdf,21,PDF_PAGE_INDEX_1_BASED,bea72f5adefd24ecb4dd8ed36e523730e19a3efb2fa9f79b63567bc4fac2e59b,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Revenue
MTN-2025-CASH,E16,MTN Group,cash_and_cash_equivalents,42625,million,ZAR,2025-12-31,2025-12-31,2026-03-16,MTN Group Annual Financial Statements 2025,https://www.mtn.com/wp-content/uploads/2026/03/MTN-Group-FY-25-Annual-Financial-Statements.pdf,23,PDF_PAGE_INDEX_1_BASED,bea72f5adefd24ecb4dd8ed36e523730e19a3efb2fa9f79b63567bc4fac2e59b,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Cash and cash equivalents
MTN-2025-DEBT,E16,MTN Group,current_debt,17755,million,ZAR,2025-12-31,2025-12-31,2026-03-16,MTN Group Annual Financial Statements 2025,https://www.mtn.com/wp-content/uploads/2026/03/MTN-Group-FY-25-Annual-Financial-Statements.pdf,23,PDF_PAGE_INDEX_1_BASED,bea72f5adefd24ecb4dd8ed36e523730e19a3efb2fa9f79b63567bc4fac2e59b,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Current borrowings
AA-2025-REV,E03,Anglo American,revenue,18546,million,USD,2025-01-01,2025-12-31,2026-03-02,Anglo American Integrated Annual Report 2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,272,PDF_PAGE_INDEX_1_BASED,362b9ebb43ca8ce3cf0a87f5ba174047ab499c4cd8f5a48eeb1bf83530a176fb,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Continuing operations revenue
AA-2025-CASH,E03,Anglo American,cash_and_cash_equivalents,6436,million,USD,2025-12-31,2025-12-31,2026-03-02,Anglo American Integrated Annual Report 2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,274,PDF_PAGE_INDEX_1_BASED,362b9ebb43ca8ce3cf0a87f5ba174047ab499c4cd8f5a48eeb1bf83530a176fb,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Cash and cash equivalents
AA-2025-DEBT,E03,Anglo American,current_debt,1075,million,USD,2025-12-31,2025-12-31,2026-03-02,Anglo American Integrated Annual Report 2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,274,PDF_PAGE_INDEX_1_BASED,362b9ebb43ca8ce3cf0a87f5ba174047ab499c4cd8f5a48eeb1bf83530a176fb,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Short-term borrowings
AGA-2025-REV,E04,AngloGold Ashanti,revenue,9893,million,USD,2025-01-01,2025-12-31,2026-03-26,AngloGold Ashanti Annual Report 2025,https://reports.anglogoldashanti.com/25/download/AGA-AR25.pdf,158,PDF_PAGE_INDEX_1_BASED,958d89150d1125af3eb9032ac7f3c9da2c22c8bfd67e8447c688c8ad0c21dd35,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Revenue from product sales
AGA-2025-CASH,E04,AngloGold Ashanti,cash_and_cash_equivalents,2905,million,USD,2025-12-31,2025-12-31,2026-03-26,AngloGold Ashanti Annual Report 2025,https://reports.anglogoldashanti.com/25/download/AGA-AR25.pdf,160,PDF_PAGE_INDEX_1_BASED,958d89150d1125af3eb9032ac7f3c9da2c22c8bfd67e8447c688c8ad0c21dd35,direct audited line item,0.99,AUDITED,PENDING_REVIEW,Cash and cash equivalents
