rank,opportunity_id,entity_id,entity_name,sector,product,observed_activity_zar,share_p50,wallet_p10_zar,wallet_p50_zar,wallet_p90_zar,gap_p10_zar,gap_p50_zar,gap_p90_zar,confidence,confidence_label,timing_score,fit_score,top10_probability,priority_score,anchor_active,anchor_name,anchor_fact_ids,prior_wallet_p10_zar,prior_wallet_p50_zar,prior_wallet_p90_zar,prior_relative_interval_width,anchored_relative_interval_width,relative_interval_width_reduction,confidence_before_anchor,confidence_lift
1,E02-trade-finance,E02,Glencore,mining,Trade finance,1085073575.85,0.013967,51871287431.69,77688738496.0,108754012046.78,79624307.35,146620772.91,244310838.76,0.960204,High,0.934158,1.0,1.0,131516273.13,True,Audited payments base × trade-utilisation range,GLEN-2025-COST|GLEN-2025-INV-OPEN|GLEN-2025-INV-CLOSE|GLEN-2025-AP-OPEN|GLEN-2025-AP-CLOSE,2037557406.09,3304292237.54,7007838476.32,1.504189,0.732188,0.513234,0.700204,0.26
2,E02-collections,E02,Glencore,mining,Collections,2463125157.4,0.001626,1409536276841.7,1514570648743.9,1654555716750.17,52530180.25,82281975.84,122544576.61,0.958027,High,0.595934,0.78,1.0,36641659.6,True,Audited cash-collections identity,GLEN-2025-REV|GLEN-2025-AR-OPEN|GLEN-2025-AR-CLOSE,4125164842.17,5734782465.92,8993105557.5,0.848845,0.161775,0.809418,0.698027,0.26
3,E02-cross-border-fx,E02,Glencore,mining,Cross-border FX,2320701124.57,0.013904,118873419464.37,166907069611.77,226368683514.08,37561995.11,62815640.72,105487118.47,0.977356,High,0.557111,1.0,1.0,34202853.48,True,Audited FX exposure/notional turnover range,GLEN-2025-FX,4232907849.23,6312019338.58,10984177658.25,1.06959,0.644043,0.39786,0.717356,0.26
4,E02-payments,E02,Glencore,mining,Payments,1876109020.98,0.001302,1335014843652.92,1441244517690.48,1569193350366.75,30526686.44,50355771.78,75650775.76,0.965396,High,0.570522,0.86,1.0,23852028.51,True,Audited supplier-payments identity,GLEN-2025-COST|GLEN-2025-INV-OPEN|GLEN-2025-INV-CLOSE|GLEN-2025-AP-OPEN|GLEN-2025-AP-CLOSE,3319903196.42,4620067580.53,7348289002.64,0.871932,0.162484,0.813651,0.705396,0.26
5,E01-cross-border-fx,E01,BHP Group,mining,Cross-border FX,2079487623.08,0.017407,85110206247.47,119460662026.09,160920935283.23,25771505.26,45407420.06,74401890.24,0.97627,High,0.518957,1.0,1.0,23005313.73,True,Audited FX exposure/notional turnover range,BHP-2025-FX,3810053738.64,5641490529.0,9897251442.93,1.079005,0.634608,0.411858,0.71627,0.26
6,E02-liquidity,E02,Glencore,mining,Liquidity,2169617089.19,0.014256,128799650829.69,152191311813.06,182544209803.06,22216901.36,37643245.93,58330590.73,0.961273,High,0.684265,0.88,0.999,21789172.57,True,Audited debt-maturity liquidity range,GLEN-2025-DEBT,4070396685.62,6421341651.52,12420752140.45,1.300407,0.353138,0.72844,0.701273,0.26
7,E01-trade-finance,E01,BHP Group,mining,Trade finance,1444550118.15,0.094673,10018343182.59,15258280630.92,21178621049.82,10726901.02,22097089.68,38099735.51,0.958648,High,0.821824,1.0,0.986,17408978.68,True,Audited payments base × trade-utilisation range,BHP-2025-COST|BHP-2025-INV-OPEN|BHP-2025-INV-CLOSE|BHP-2025-AP-OPEN|BHP-2025-AP-CLOSE,2751152150.77,4417330618.7,9110594604.13,1.439657,0.731424,0.491946,0.698648,0.26
8,E01-collections,E01,BHP Group,mining,Collections,9185914038.41,0.018129,468068074208.59,506696815192.09,550024540288.55,16714729.84,26364765.13,39761462.12,0.971575,High,0.573849,0.78,0.988,11465490.32,True,Audited cash-collections identity,BHP-2025-REV|BHP-2025-AR-OPEN|BHP-2025-AR-CLOSE,15134268543.12,20857470900.0,32425274183.25,0.829008,0.161747,0.804891,0.711575,0.26
9,E01-payments,E01,BHP Group,mining,Payments,7135405353.23,0.021497,306087529164.72,331932626429.64,361725754926.22,6781392.86,10997002.92,16477590.83,0.957084,High,0.594405,0.86,0.725,5380285.57,True,Audited supplier-payments identity,BHP-2025-COST|BHP-2025-INV-OPEN|BHP-2025-INV-CLOSE|BHP-2025-AP-OPEN|BHP-2025-AP-CLOSE,12324624293.43,17106115751.74,27002641509.45,0.858057,0.167619,0.804653,0.697084,0.26
10,E09-collections,E09,Shoprite Holdings,consumer,Collections,2673495088.86,0.018877,131275197628.37,141626577848.12,154280539936.06,4463824.62,7323448.01,11136480.9,0.978371,High,0.586404,1.0,0.453,4201616.39,True,Audited cash-collections identity,SHP-2025-REV|SHP-2025-AR-OPEN|SHP-2025-AR-CLOSE,4390360498.24,6194654980.74,9545863060.05,0.83225,0.162437,0.804822,0.718371,0.26
11,E01-liquidity,E01,BHP Group,mining,Liquidity,8160659695.82,0.226948,30032351229.38,35958222343.44,43154533402.35,1755644.37,3915530.46,7230360.37,0.965474,High,0.682435,0.88,0.074,2270256.24,True,Audited debt-maturity liquidity range,BHP-2025-DEBT,14904656037.99,23340569147.48,43402830637.0,1.220972,0.364929,0.701116,0.705474,0.26
12,E09-payments,E09,Shoprite Holdings,consumer,Payments,7657917973.61,0.05817,121896405654.89,131646450362.73,143796610251.0,2409302.66,3959922.04,5988330.18,0.980632,High,0.578639,1.0,0.027,2246984.45,True,Audited supplier-payments identity,SHP-2025-COST|SHP-2025-INV-OPEN|SHP-2025-INV-CLOSE|SHP-2025-AP-OPEN|SHP-2025-AP-CLOSE,13153293245.53,18132282465.04,29016198172.3,0.874843,0.166356,0.809845,0.720632,0.26
13,E10-trade-finance,E10,Bid Corporation,consumer,Trade finance,1878698744.5,0.336685,3480914322.42,5579987790.46,10850799327.2,0.0,1718453.24,13174757.65,0.715882,Medium,0.769136,0.77,0.121,728572.5,False,,,3480914322.42,5579987790.46,10850799327.2,1.320771,1.320771,0.0,0.715882,0.0
14,E18-trade-finance,E18,The Bidvest Group,industrials_pharma,Trade finance,1462356646.29,0.330428,2729627781.48,4425638520.86,8819249216.39,0.0,1373003.61,10261187.76,0.670078,Medium,0.773877,0.92,0.12,655024.04,False,,,2729627781.48,4425638520.86,8819249216.39,1.375987,1.375987,0.0,0.670078,0.0
15,E11-trade-finance,E11,Pepkor Holdings,consumer,Trade finance,1533077406.45,0.331118,2862622100.3,4630010114.62,9397965326.98,0.0,1371287.84,11977517.0,0.717544,Medium,0.765955,0.77,0.108,580324.96,False,,,2862622100.3,4630010114.62,9397965326.98,1.411518,1.411518,0.0,0.717544,0.0
16,E16-trade-finance,E16,MTN Group,telecoms,Trade finance,1443169160.97,0.324469,2736055303.67,4447788604.51,8803805423.45,0.0,1594506.05,10413007.4,0.717993,Medium,0.716218,0.68,0.057,557571.21,False,,,2736055303.67,4447788604.51,8803805423.45,1.364217,1.364217,0.0,0.717993,0.0
