observation_id,relationship_id,team_id,product,sector,geography,size_bucket,relationship_maturity,observation_period_start,observation_period_end,available_date,focal_bank_activity_zar,other_bank_activity_zar,total_multibank_wallet_zar,known_truth_share,selection_probability,selection_weight,reconciled_to_bank_records,consent_reference,provenance_class,truth_status,evidence_tier,production_e3_eligible,measured_share_label_allowed,dataset_version
DEMO-R0001-collections,DEMO-R0001,DEMO-TEAM-01,Collections,telecoms,Rest of Africa,upper_mid,established,2025-07-01,2026-06-30,2026-08-09,2188154354.68,5083658486.17,7271812840.85,0.30090906,0.36356519,2.75053837,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0001-payments,DEMO-R0001,DEMO-TEAM-01,Payments,telecoms,Rest of Africa,upper_mid,established,2025-07-01,2026-06-30,2026-08-09,3448253904.69,4965513497.42,8413767402.11,0.40983471,0.36356519,2.75053837,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0001-liquidity,DEMO-R0001,DEMO-TEAM-01,Liquidity,telecoms,Rest of Africa,upper_mid,established,2025-07-01,2026-06-30,2026-08-09,1974044984.37,6346284785.42,8320329769.79,0.23725562,0.36356519,2.75053837,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0001-fx-fx,DEMO-R0001,DEMO-TEAM-01,Cross-border FX,telecoms,Rest of Africa,upper_mid,established,2025-07-01,2026-06-30,2026-08-09,2790420187.4,3019037439.97,5809457627.37,0.4803237,0.36356519,2.75053837,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0001-trade-finance,DEMO-R0001,DEMO-TEAM-01,Trade finance,telecoms,Rest of Africa,upper_mid,established,2025-07-01,2026-06-30,2026-08-09,1216313936.08,10649569802.11,11865883738.19,0.10250513,0.36356519,2.75053837,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0002-collections,DEMO-R0002,DEMO-TEAM-02,Collections,consumer,South Africa,large,established,2025-07-01,2026-06-30,2026-08-09,3940498087.92,8435639196.76,12376137284.68,0.31839483,0.52988356,1.88720705,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0002-payments,DEMO-R0002,DEMO-TEAM-02,Payments,consumer,South Africa,large,established,2025-07-01,2026-06-30,2026-08-09,13374628718.19,32029048605.01,45403677323.2,0.29457149,0.52988356,1.88720705,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0002-liquidity,DEMO-R0002,DEMO-TEAM-02,Liquidity,consumer,South Africa,large,established,2025-07-01,2026-06-30,2026-08-09,15437009192.63,31486304733.65,46923313926.29,0.32898378,0.52988356,1.88720705,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0002-fx-fx,DEMO-R0002,DEMO-TEAM-02,Cross-border FX,consumer,South Africa,large,established,2025-07-01,2026-06-30,2026-08-09,9983036801.17,17691039210.71,27674076011.89,0.36073605,0.52988356,1.88720705,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0002-trade-finance,DEMO-R0002,DEMO-TEAM-02,Trade finance,consumer,South Africa,large,established,2025-07-01,2026-06-30,2026-08-09,3669330489.68,14780965089.13,18450295578.81,0.19887652,0.52988356,1.88720705,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0003-collections,DEMO-R0003,DEMO-TEAM-03,Collections,mining,South Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,1266714613.63,1969350814.9,3236065428.52,0.39143665,0.32518266,3.07519472,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
