observation_id,relationship_id,team_id,product,sector,encouragement_arm,assignment_probability,qualified_action_30d,pipeline_milestone_60d,reconciled_outcome_90d,simulated_contribution_zar,censored,outcome_provenance,production_causal_claim_allowed
DEMO-R0001-collections,DEMO-R0001,DEMO-TEAM-01,Collections,telecoms,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0001-payments,DEMO-R0001,DEMO-TEAM-01,Payments,telecoms,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0001-liquidity,DEMO-R0001,DEMO-TEAM-01,Liquidity,telecoms,0,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0001-fx-fx,DEMO-R0001,DEMO-TEAM-01,Cross-border FX,telecoms,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0001-trade-finance,DEMO-R0001,DEMO-TEAM-01,Trade finance,telecoms,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0002-collections,DEMO-R0002,DEMO-TEAM-02,Collections,consumer,0,0.5,0,0,1,121194.82,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0002-payments,DEMO-R0002,DEMO-TEAM-02,Payments,consumer,0,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0002-liquidity,DEMO-R0002,DEMO-TEAM-02,Liquidity,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0002-fx-fx,DEMO-R0002,DEMO-TEAM-02,Cross-border FX,consumer,0,0.5,0,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0002-trade-finance,DEMO-R0002,DEMO-TEAM-02,Trade finance,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0003-collections,DEMO-R0003,DEMO-TEAM-03,Collections,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0003-payments,DEMO-R0003,DEMO-TEAM-03,Payments,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0003-liquidity,DEMO-R0003,DEMO-TEAM-03,Liquidity,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0003-fx-fx,DEMO-R0003,DEMO-TEAM-03,Cross-border FX,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0003-trade-finance,DEMO-R0003,DEMO-TEAM-03,Trade finance,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0004-collections,DEMO-R0004,DEMO-TEAM-04,Collections,consumer,0,0.5,1,1,1,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0004-payments,DEMO-R0004,DEMO-TEAM-04,Payments,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0004-liquidity,DEMO-R0004,DEMO-TEAM-04,Liquidity,consumer,0,0.5,0,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0004-fx-fx,DEMO-R0004,DEMO-TEAM-04,Cross-border FX,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0004-trade-finance,DEMO-R0004,DEMO-TEAM-04,Trade finance,consumer,0,0.5,0,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0005-collections,DEMO-R0005,DEMO-TEAM-05,Collections,real_estate,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0005-payments,DEMO-R0005,DEMO-TEAM-05,Payments,real_estate,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0005-liquidity,DEMO-R0005,DEMO-TEAM-05,Liquidity,real_estate,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0005-fx-fx,DEMO-R0005,DEMO-TEAM-05,Cross-border FX,real_estate,1,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0005-trade-finance,DEMO-R0005,DEMO-TEAM-05,Trade finance,real_estate,1,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0006-collections,DEMO-R0006,DEMO-TEAM-06,Collections,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0006-payments,DEMO-R0006,DEMO-TEAM-06,Payments,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0006-liquidity,DEMO-R0006,DEMO-TEAM-06,Liquidity,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0006-fx-fx,DEMO-R0006,DEMO-TEAM-06,Cross-border FX,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0006-trade-finance,DEMO-R0006,DEMO-TEAM-06,Trade finance,consumer,0,0.5,1,1,1,1277722.86,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0007-collections,DEMO-R0007,DEMO-TEAM-07,Collections,tech,0,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0007-payments,DEMO-R0007,DEMO-TEAM-07,Payments,tech,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0007-liquidity,DEMO-R0007,DEMO-TEAM-07,Liquidity,tech,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0007-fx-fx,DEMO-R0007,DEMO-TEAM-07,Cross-border FX,tech,0,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0007-trade-finance,DEMO-R0007,DEMO-TEAM-07,Trade finance,tech,0,0.5,1,1,1,200733.69,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0008-collections,DEMO-R0008,DEMO-TEAM-08,Collections,tech,1,0.5,0,0,1,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0008-payments,DEMO-R0008,DEMO-TEAM-08,Payments,tech,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0008-liquidity,DEMO-R0008,DEMO-TEAM-08,Liquidity,tech,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0008-fx-fx,DEMO-R0008,DEMO-TEAM-08,Cross-border FX,tech,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0008-trade-finance,DEMO-R0008,DEMO-TEAM-08,Trade finance,tech,1,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0009-collections,DEMO-R0009,DEMO-TEAM-09,Collections,mining,0,0.5,0,0,1,11597.16,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0009-payments,DEMO-R0009,DEMO-TEAM-09,Payments,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0009-liquidity,DEMO-R0009,DEMO-TEAM-09,Liquidity,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0009-fx-fx,DEMO-R0009,DEMO-TEAM-09,Cross-border FX,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0009-trade-finance,DEMO-R0009,DEMO-TEAM-09,Trade finance,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0010-collections,DEMO-R0010,DEMO-TEAM-10,Collections,real_estate,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0010-payments,DEMO-R0010,DEMO-TEAM-10,Payments,real_estate,0,0.5,1,1,1,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0010-liquidity,DEMO-R0010,DEMO-TEAM-10,Liquidity,real_estate,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0010-fx-fx,DEMO-R0010,DEMO-TEAM-10,Cross-border FX,real_estate,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0010-trade-finance,DEMO-R0010,DEMO-TEAM-10,Trade finance,real_estate,0,0.5,0,1,1,4616.55,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0011-collections,DEMO-R0011,DEMO-TEAM-11,Collections,telecoms,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0011-payments,DEMO-R0011,DEMO-TEAM-11,Payments,telecoms,0,0.5,0,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0011-liquidity,DEMO-R0011,DEMO-TEAM-11,Liquidity,telecoms,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0011-fx-fx,DEMO-R0011,DEMO-TEAM-11,Cross-border FX,telecoms,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0011-trade-finance,DEMO-R0011,DEMO-TEAM-11,Trade finance,telecoms,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0012-collections,DEMO-R0012,DEMO-TEAM-12,Collections,real_estate,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0012-payments,DEMO-R0012,DEMO-TEAM-12,Payments,real_estate,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0012-liquidity,DEMO-R0012,DEMO-TEAM-12,Liquidity,real_estate,1,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0012-fx-fx,DEMO-R0012,DEMO-TEAM-12,Cross-border FX,real_estate,1,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0012-trade-finance,DEMO-R0012,DEMO-TEAM-12,Trade finance,real_estate,1,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0013-collections,DEMO-R0013,DEMO-TEAM-13,Collections,real_estate,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0013-payments,DEMO-R0013,DEMO-TEAM-13,Payments,real_estate,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0013-liquidity,DEMO-R0013,DEMO-TEAM-13,Liquidity,real_estate,0,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0013-fx-fx,DEMO-R0013,DEMO-TEAM-13,Cross-border FX,real_estate,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0013-trade-finance,DEMO-R0013,DEMO-TEAM-13,Trade finance,real_estate,0,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0014-collections,DEMO-R0014,DEMO-TEAM-14,Collections,insurance,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0014-payments,DEMO-R0014,DEMO-TEAM-14,Payments,insurance,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0014-liquidity,DEMO-R0014,DEMO-TEAM-14,Liquidity,insurance,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0014-fx-fx,DEMO-R0014,DEMO-TEAM-14,Cross-border FX,insurance,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0014-trade-finance,DEMO-R0014,DEMO-TEAM-14,Trade finance,insurance,1,0.5,1,1,1,16530.25,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0015-collections,DEMO-R0015,DEMO-TEAM-15,Collections,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0015-payments,DEMO-R0015,DEMO-TEAM-15,Payments,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0015-liquidity,DEMO-R0015,DEMO-TEAM-15,Liquidity,consumer,0,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0015-fx-fx,DEMO-R0015,DEMO-TEAM-15,Cross-border FX,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0015-trade-finance,DEMO-R0015,DEMO-TEAM-15,Trade finance,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0016-collections,DEMO-R0016,DEMO-TEAM-16,Collections,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0016-payments,DEMO-R0016,DEMO-TEAM-16,Payments,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0016-liquidity,DEMO-R0016,DEMO-TEAM-16,Liquidity,consumer,0,0.5,0,0,1,549075.09,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0016-fx-fx,DEMO-R0016,DEMO-TEAM-16,Cross-border FX,consumer,0,0.5,0,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0016-trade-finance,DEMO-R0016,DEMO-TEAM-16,Trade finance,consumer,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0017-collections,DEMO-R0017,DEMO-TEAM-17,Collections,tech,1,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0017-payments,DEMO-R0017,DEMO-TEAM-17,Payments,tech,1,0.5,0,0,1,12189.67,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0017-liquidity,DEMO-R0017,DEMO-TEAM-17,Liquidity,tech,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0017-fx-fx,DEMO-R0017,DEMO-TEAM-17,Cross-border FX,tech,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0017-trade-finance,DEMO-R0017,DEMO-TEAM-17,Trade finance,tech,1,0.5,1,1,1,14923.05,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0018-collections,DEMO-R0018,DEMO-TEAM-18,Collections,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0018-payments,DEMO-R0018,DEMO-TEAM-18,Payments,industrials_pharma,1,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0018-liquidity,DEMO-R0018,DEMO-TEAM-18,Liquidity,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0018-fx-fx,DEMO-R0018,DEMO-TEAM-18,Cross-border FX,industrials_pharma,1,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0018-trade-finance,DEMO-R0018,DEMO-TEAM-18,Trade finance,industrials_pharma,1,0.5,0,0,1,698129.38,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0019-collections,DEMO-R0019,DEMO-TEAM-19,Collections,industrials_pharma,1,0.5,0,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0019-payments,DEMO-R0019,DEMO-TEAM-19,Payments,industrials_pharma,1,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0019-liquidity,DEMO-R0019,DEMO-TEAM-19,Liquidity,industrials_pharma,1,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0019-fx-fx,DEMO-R0019,DEMO-TEAM-19,Cross-border FX,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0019-trade-finance,DEMO-R0019,DEMO-TEAM-19,Trade finance,industrials_pharma,1,0.5,0,1,1,919763.06,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0020-collections,DEMO-R0020,DEMO-TEAM-20,Collections,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0020-payments,DEMO-R0020,DEMO-TEAM-20,Payments,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0020-liquidity,DEMO-R0020,DEMO-TEAM-20,Liquidity,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0020-fx-fx,DEMO-R0020,DEMO-TEAM-20,Cross-border FX,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0020-trade-finance,DEMO-R0020,DEMO-TEAM-20,Trade finance,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0021-collections,DEMO-R0021,DEMO-TEAM-21,Collections,real_estate,0,0.5,0,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
